Page hit log started.
INODE	HITS
287418	18
287416	18
263033	20
263034	15
263038	15
263039	15
263041	15
263047	15
263050	15
263051	15
263052	15
263053	15
263054	15
263055	15
263056	15
263058	30
263059	25
263060	15
263061	20
263062	20
263063	15
263064	15
263065	15
263067	15
263068	15
263069	15
263070	15
263071	15
263072	15
263073	15
263074	15
263075	25
263077	20
263078	15
263079	15
263080	15
263081	15
263082	15
263083	15
263085	15
263087	15
138392	20
263088	15
263089	15
263131	15
192050	5
168463	5
192048	5
168466	5
168464	5
168467	5
168472	5
168480	5
168479	5
168470	5
168474	5
168478	5
168458	5
168465	5
816	7
1248	48
13785	20
14209	34
15377	62
1274	8
1462	8
136742	8
154217	39
1261	7
271838	7
271260	7
272039	7
136883	7
153922	15
154369	39
11749	29
11748	9
20386	6
17113	7
20399	6
15562	2
3441	9
153109	5
153102	9
153107	14
1266	1
13790	8
13795	8
13796	8
13798	8
13797	8
13801	8
13805	8
155443	5
1051175	310
9619	1
1051192	444
1051447	444
278451	19
266578	5
271629	2
11797	3
153564	5
153629	5
153627	5
153626	5
153628	5
153618	5
153577	5
153578	5
153575	7
153576	7
153373	5
153380	5
153379	5
153386	7
153519	7
153351	5
154412	31
1257	3
17139	3
18675	3
766	3
30890	3
28683	3
32183	3
3571	3
788	3
3568	3
31577	3
741	3
28684	3
813	3
817	3
1053475	20
1053476	20
1053470	24
1048628	5
1052480	11
1048626	11
1048627	19
1048623	17
1052481	11
1048624	17
1053477	18
917807	3
1052389	1
1051441	1
1051442	1
1051445	1
1051419	1
1051443	1
30976	23
268997	2
264463	1
278452	2
278433	2
278456	2
278435	2
278499	3
303798	2
278449	2
304075	3
278431	2
278493	3
278459	2
278465	2
278450	4
278490	2
278444	2
278455	2
278466	3
278483	2
278484	2
278447	2
278467	3
278457	2
278453	2
269074	2
303824	2
278430	2
278501	2
278448	2
278485	2
266425	4
278482	2
278479	3
278445	2
278473	2
278454	2
278441	2
278461	2
303635	2
278489	4
278496	2
304231	2
278495	2
302002	2
278481	2
278429	2
278460	2
278464	2
278446	2
304123	2
304230	2
278498	3
278477	2
278475	2
278497	2
278486	2
278438	2
278474	2
278487	2
278469	2
278476	2
278443	2
278437	2
278500	3
278434	2
278470	3
278471	3
278488	2
278492	2
278478	3
278442	2
278463	4
278439	8
278462	3
278468	2
279554	2
279568	2
279566	4
279563	4
279577	2
279553	4
279576	3
279564	4
279551	3
279561	2
279575	3
279567	3
279559	2
279578	2
279573	4
279569	2
279574	3
279556	3
279565	3
279562	3
279557	4
279560	4
279572	3
279552	2
279570	2
279571	4
279555	3
279558	4
31774	6
13811	2
13822	3
13816	3
13817	2
13818	4
13820	3
13821	2
13833	11
13812	3
13819	3
13823	3
13827	2
287422	4
153835	2
155474	19
155485	3
155502	4
31646	3
33395	3
263451	2
263292	12
266009	2
136804	2
265971	2
265992	2
265969	2
136837	2
265973	2
263399	12
263448	6
266008	2
265983	1
263458	6
263447	6
263446	6
265398	2
136926	2
263793	2
263799	6
262388	2
293438	2
263795	2
131222	3
920401	3
153834	2
153946	7
153121	2
153120	3
153122	2
153113	2
266518	2
265694	1
265695	1
271718	1
271217	1
271177	1
271976	1
272035	1
271978	1
271672	1
271704	1
136824	5
136833	1
271181	1
271673	1
271211	1
271800	1
271893	1
136861	1
271210	1
1269	1
263167	2
287448	2
287440	2
287445	5
287444	2
287442	5
287441	2
287447	22
1443	1
287446	3
287456	3
287450	2
287451	2
287455	3
287452	2
287454	2
287453	2
287439	3
287449	2
287564	2
287560	2
272387	8
287524	2
154241	7
154394	11
17115	3
1078	1
156049	2
287513	3
287573	2
287572	2
33393	2770
33831	2
917873	1
33832	1
131161	12
136816	4
131101	3
20007	3
131148	9
266777	6
267104	3
136718	1
270983	1
136924	1
136826	1
262994	3
262449	6
264324	6
262394	3
262396	3
263466	3
186456	1
Page hit log stopped.
